deleting all fire incidents in database
retreiving page 1 from Philly Fire News feed
1 1/10 05/20/2014, 300 Dickenson Street -75.150325 39.9293392
1 2/10 05/20/2014, 1300 Reed Street -75.1657719 39.9326388
1 3/10 05/20/2014, 2200 S. 62nd Street -75.2306575 39.9281424
1 4/10 05/19/2014, 100 S. 56th Street -75.2332032 39.9594325
1 5/10 05/19/2014, 4800 N. Lawrence Street -75.1323594 40.0243546
1 6/10 05/19/2014, 2600 Earp Street -75.187628 39.935796
1 7/10 05/19/2014, 3200 N. Bailey Street -75.1729087 40.0041909
1 8/10 05/18/2014, 4700 Olive Street -75.2049237 39.9655643
1 9/10 05/18/2014, 3800 N. 17th Street -75.1556952 40.0114779
1 10/10 05/17/2014, 100 W Champlost Ave -75.1206739 40.04128
retreiving page 2 from Philly Fire News feed
2 1/10 05/17/2014, 100 N. 57th Street -75.2345537 39.9628452
2 2/10 05/14/2014, 63rd and Columbia Ave -75.2465471 39.9806443
2 3/10 0512/2014, 5500 Ludlow Street -75.2309731 39.9599397
2 4/10 05/08/2014, 2300 N. Front Street -75.1322804 39.9850198
2 5/10 05/07/2014, 5900 Haverford Ave -75.237518 39.968769
2 6/10 05/06/2014, 4917 Frankford Ave -75.080814 40.019452
2 7/10 05/04/2014, 700 S. 13th Street -75.163802 39.942441
2 8/10 05/01/2014, 2300 Naudain Street -75.179909 39.945881
2 9/10 04/29/2014, 3000 Ruth Street -75.1179433 39.9934863
2 10/10 04/28/2014, 6500 Edmund Street -75.0487013 40.0209612
retreiving page 3 from Philly Fire News feed
3 1/10 04/25/2014, 300 West Porter Street -75.1526341 39.9170456
3 2/10 04/23/2014, 3600 Spring Garden Street -75.1946384 39.9624204
3 3/10 04/22/2014, 5200 Hawthorne Street -75.075476 40.020294
3 4/10 04/21/2014, 2400 Sherman Street -75.199409 40.046469
3 5/10 04/20/2014, 600 N. 37th Street -75.1960025 39.9636221
3 6/10 04/20/2014, 5400 Arlington Street -75.2322844 39.986363
3 7/10 04/19/2014, 2700 Sterner Street -75.1755699 39.997038
3 8/10 04/16/2014, 4800 N. 12th St -75.144023 40.025791
3 9/10 04/16/2014, 800 Hunting Park -75.111187 40.010996
3 10/10 04/16/2014, 4700 Tampa St -75.1129491 40.02014
retreiving page 4 from Philly Fire News feed
4 1/10 04/14/2014, 1700 Widener Place -75.148721 40.044047
4 2/10 04/13/2014, 5300 block Pine St -75.228371 39.953591
4 3/10 04/13/2014, 9100 Verree Rd -75.050706 40.095157
4 4/10 04/13/2014, 2963 D St. -75.121737 39.9943192
4 5/10 04/12/2014, 2400 E. York St -75.1249799 39.977998
4 6/10 04/11/2014, F St &#038; Clementine St -75.117646 39.995811
