Engine,Ladder,Medic,Location
43,9,7,2108-14 Market Street
8,2,44B,101-15 North 4th Street
11,,21,601-09 South Street
20,23,1,133 North 10th street
1,5,35,711-23 South Broad Street
22,31,20,3270 Comly Road
46,,49B,9197 Frankford Avenue
62,34,6,9845 Bustleton Avenue
58,,,812 Hendrix Street
9,21,10,6900 Germantown Avenue
19,8,28,300 E Chelten Avenue
37,,,101 W Highland Avenue
35,25,16,4208-52 Ridge Avenue
6,16,,2601 Belgrade Street
7,10,2,3798 Kensington Ave
25,,8,2931 Boudinot Street
28,,45B,2520 E. Ontario Street
33,,,4750 Richmond Street
70,,42B,4800 Langdon Street
38,,47B,4960 Longshore Avenue
14,15,,1652-54 Foulkroad Street
64,,,6000 Rising Sun Avenue
71,28,12,1900 Cottman Avenue
56,,48B,832 Rhawn St
52,,32,4501 Van Kirk St
36,20,17,7818 Frankford Avenu
18,,38,8205 Roosevelt Blvd
50,12,22,1325 W Cambria Street
55,22,39,4000 N Front Street
59,18,4B,2207 W Hunting Park Avenue
2,3,31,2426-32 N 2nd Street
13,1,,1541-47 Parrish Street
27,,13,1901-15 Oxford Street
29,,15,400-08 W Girard Avenue
34,,36,1301-07 N 28th Street
45,14,25,2401 N. 26th Street
51,29,18,5931 Old York Road
61,,29,5334 Rising Sun Avenue
63,,,1210 Oak Lane Avenue
72,,24,1127-29 W. Louden St
73,,33,7515 Ogontz Avenue
12,,46B,4447 Main Street
39,30,5,6630 Ridge Avenue
66,,,7720 Ridge Avenue
3,,,200-10 Washington Avenue
10,11,27,1357 South 12th Street
24,,14B,1200 S. 20th Street
47,,40,3023-45 Grays Ferry Avenue
49,,11,2600 S. 13th Street
53,27,43B,414-16 Snyder Avenu
60,19,37,2301 S. 24th Street
MU1,,,Delaware and Washington Avenue
MU2,,,Passyunk Ave and Schuylkill River
40,4,19,6438 Woodland Avenue
69,,50B,8201 Tinicum Avenue
68,13,3,801 S. 52nd Street
78,,30,Philadelphia International Airport
5,6,,4221-29 Market Street
16,,26,1517-19 Belmont Avenue
41,24,23,1201 N 61st street
44,,34,3420 Haverford Avenue
54,,41B,1913 N 63rd Street
57,,9B,5559 Chestnut Street
