date,time,town,address,type
03/03/2014,05:25,City of Philadelphia,4th and Durfor St,Apartment Fire
02/27/2014,15:00,City of Philadelphia,5200 N. 5th St,Dwelling Fire
02/27/2014,14:15,City of Philadelphia,700 block of W. Annsberry St,Dwelling Fire
02/24/2014,12:25,City of Philadelphia,5th and Berks,Dwelling Fire
02/24/2014,01:10,City of Philadelphia,100 block of W. Washington Lane,Dwelling Fire
02/22/2014,04:30,City of Philadelphia,1400 block of S. Darien St Map,Building Fire
02/21/2014,22:10,City of Philadelphia,1000 block of S. Frazier St,Double Fatal House Fire
02/21/2014,06:50,City of Philadelphia,700 block of S. 11th St,Apartment Fire
02/19/2014,02:15,City of Philadelphia,6000 block of Lindbergh Blvd,Dwelling Fire
02/17/2014,23:24,City of Philadelphia,52 E. Washington Lane,Fatal Dwelling Fire
03/03/2014,05:25,City of Philadelphia,4th and Durfor St,Apartment Fire
02/27/2014,15:00,City of Philadelphia,5200 N. 5th St,Dwelling Fire
02/27/2014,14:15,City of Philadelphia,700 block of W. Annsberry St,Dwelling Fire
02/24/2014,12:25,City of Philadelphia,5th and Berks,Dwelling Fire
02/24/2014,01:10,City of Philadelphia,100 block of W. Washington Lane,Dwelling Fire
02/22/2014,04:30,City of Philadelphia,1400 block of S. Darien St Map,Building Fire
02/21/2014,22:10,City of Philadelphia,1000 block of S. Frazier St,Double Fatal House Fire
02/21/2014,06:50,City of Philadelphia,700 block of S. 11th St,Apartment Fire
02/19/2014,02:15,City of Philadelphia,6000 block of Lindbergh Blvd,Dwelling Fire
02/17/2014,23:24,City of Philadelphia,52 E. Washington Lane,Fatal Dwelling Fire
02/17/2014,17:03,City of Philadelphia,4800 block of N. 9th St,Fatal Dwelling Fire
02/17/2014,12:45,City of Philadelphia,800 block of N. 45th St,Dwelling Fire
02/16/2014,16:50,City of Philadelphia,5700 block of Poplar St,Fatal Dwelling Fire
02/14/2014,11:20,City of Philadelphia,3000 block of N. 9th St,Fatal Dwelling Fire
02/10/2014,04:40,City of Philadelphia,600 block of N. 64th St,Dwelling Fire
02/09/2014,04:50,City of Philadelphia,2101 Michener St,Apartment Fire
02/06/2014,13:40,City of Philadelphia,11353 Norcom Rd,Haz-Mat Fire
02/06/2014,13:15,City of Philadelphia,1300 block of S. Bancroft St,Dwelling Fire
02/05/2014,23:15,City of Philadelphia,300 block of E. Eleanor St,Dwelling Fire
02/05/2014,08:00,City of Philadelphia,19th & Spring Garden St,Two Alarm Apartment Fire
02/04/2014,17:30,City of Philadelphia,8th & Oxford St,Dwelling Fire
02/01/2014,20:40,City of Philadelphia,6500 block of Reedland St,Dwelling Fire
01/31/2014,23:35,City of Philadelphia,2700 block of Hancock St,Dwelling Fire
01/31/2014,02:00,City of Philadelphia,4900 block of Aspen St,Dwelling Fire
01/30/2014,19:05,City of Philadelphia,1800 blk of S. Bancroft St.,"Philadelphia News, Weather and Sports from WTXF FOX 29"
01/30/2014,15:350,City of Philadelphia,200 Earnst Way,Apartment Fire
01/27/2014,22:45,City of Philadelphia,5400 Belmar Terr.,Two Alarm Dwelling Fire
01/25/2014,10:15,City of Philadelphia,1200 block of S. 7th St.,Dwelling Fire
01/25/2014,14:40,City of Philadelphia,1100 block of S. 52nd St Map,Dwelling Fire
01/24/2014,20:10,City of Philadelphia,8000 block of Lindbergh Blvd,Dwelling Fire
01/24/2014,11:35,City of Philadelphia,500 block of E. Cheltenham Ave,Dwelling Fire
01/24/2014,11:05,City of Philadelphia,2000 block of S. Opal St,Dwelling Fire
01/24/2014,10:30,City of Philadelphia,600 block of Brighton St.,Dwelling Fire
